address,postcode,city,tel,web,remark,organization_name,healthCare_type,link
" Russenplein 1",1861 JR,Bergen,072-5818671,,,Eyelevel,Psychologiepraktijk en psychotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychologiepraktijk-en-psychotherapiepraktijk-eyelevel-bergen-3023487
" Nassaulaan 22",1862 EJ,Bergen,072-5812236,http://www.bergenseapotheek.nl,,Alphega apotheek Bergen,Apotheek,https://www.zorgkaartnederland.nl/zorginstelling/apotheek-alphega-apotheek-bergen-bergen-170405
" Keulerstraat 30 A",5854 BZ,Bergen,0485-348100,http://www.apotheekmaasduinen.nl,,Apotheek Maasduinen VOF,Apotheek,https://www.zorgkaartnederland.nl/zorginstelling/apotheek-apotheek-maasduinen-vof-bergen-173817
" Natteweg 41",1862 CW,Bergen,06-57380166,http://www.dietistanniek.nl,,"Diëtistenpraktijk Anniek de Cuijper, locatie Bergen",Diëtistenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/dietistenpraktijk-dietistenpraktijk-anniek-de-cuijper-bergen-3029946
" Raadhuisstraat 2",5854 AX,Bergen,06-38928331,http://www.tahneelifestyle.nl,,Diëtistenprakijk Tahnee Lifestyle,Diëtistenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/dietistenpraktijk-dietistenprakijk-tahnee-lifestyle-bergen-3060764
" Saenehof 1",1862 JA,Bergen,06-49610353,http://www.logopedieaandekust.nl,,Logopedie Aan De Kust: Bergen (NH),Logopediepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/logopediepraktijk-logopedie-aan-de-kust-bergen-nh-bergen-3036800
" Jeroen Boschstraat 10",5854 CZ,Bergen,06-54355769,http://www.lichtendahl-logopedie.nl,,Callista Lichtendahl Logopedie,Logopediepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/logopediepraktijk-logopediepraktijk-lichtendahl-locatie-bergen-bergen-3041642
" Nassaulaan 24",1862 EJ,Bergen,072-5812700,http://debergensehuisartsen.praktijkinfo.nl,,"De Bergense Huisartsen, Huisartsenpraktijk Laarhoven en Montauban",Huisartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/huisartsenpraktijk-de-bergense-huisartsen-huisartsenpraktijk-laarhoven-en-montauban-bergen-3043933
" Nassaulaan 24",1862 EJ,Bergen,072-5090605,http://debergensehuisartsen.praktijkinfo.nl,,"De Bergense Huisartsen, Huisartsenpraktijk Schuurman en Schillings",Huisartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/huisartsenpraktijk-de-bergense-huisartsen-huisartsenpraktijk-schuurman-en-schillings-bergen-3043934
" Nassaulaan 24",1862 EJ,Bergen,072-5813130,http://debergensehuisartsen.praktijkinfo.nl,,"De Bergense Huisartsen, Huisartsenpraktijk Boot en Hofman",Huisartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/huisartsenpraktijk-de-bergense-huisartsen-huisartsenpraktijk-boot-en-hofman-bergen-3043932
" Nassaulaan 24",1862 EJ,Bergen,072-5812027,http://debergensehuisartsen.praktijkinfo.nl,,"De Bergense Huisartsen, Huisartsenpraktijk Spies en Van der Wardt",Huisartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/huisartsenpraktijk-de-bergense-huisartsen-huisartsenpraktijk-spies-en-van-der-wardt-bergen-115838
" Rembrandtplein 6",5854 EM,Bergen,0485-348282,http://maasoever.praktijkinfo.nl,,"Huisartsenpraktijk Maasoever, locatie Bergen",Huisartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/huisartsenpraktijk-huisartsenpraktijk-maasoever-locatie-bergen-bergen-121989
" Nassaulaan 24",1862 EJ,Bergen,072-5813895,http://debergensehuisartsen.praktijkinfo.nl,,"De Bergense Huisartsen, Huisartsenpraktijk Visser",Huisartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/huisartsenpraktijk-de-bergense-huisartsen-huisartsenpraktijk-visser-bergen-3043935
" Sint Antoniusstraat 1",1861 LD,Bergen,072-5813885,http://www.dentaluddingbergen.nl,,Dental Udding Bergen,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-dental-udding-bergen-bergen-209451
" Pieter Breughelstraat 57",5854 EB,Bergen,024-6424220,http://www.wilfranken.nl,,Mondzorg Centrum Bergen,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-mondzorg-centrum-bergen-nieuw-bergen-3047175
" Breelaan 18",1861 GE,Bergen,072-5812755,http://tandartspraktijkkraak.praktijkinfo.nl,,Tandartspraktijk Kraak,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartspraktijk-kraak-bergen-180528
" Jeroen Boschstraat 10",5854 CZ,Bergen,0485-341383,http://www.kiesmondzorg.nl,,Kies Mondzorg Bergen,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-kies-mondzorg-bergen-bergen-3032576
" Siebengewaldseweg 44",5854 PC,Bergen,0485-342635,http://www.kiesmondzorg.nl,,Kies Mondzorg Bergen Peters,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-kies-mondzorg-bergen-peters-bergen-209203
" Jeroen Boschstraat 10",5854 CZ,Bergen,085-0133500,https://www.viedenta.nl,,VieDenta Kliniek,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-viedenta-kliniek-bergen-10009459
" Dorpsstraat 4",1861 KW,Bergen,072-5895240,http://www.tptdorp.nl,,Tandartspraktijk 't Dorp,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartspraktijk-t-dorp-bergen-180519
" Emmalaan 4 A",1862 ET,Bergen,072-5817427,http://www.tandartspraktijkavelli.nl,,Tandartspraktijk Avelli,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartspraktijk-avelli-bergen-3036328
" Loudelsweg 6",1861 TG,Bergen,072-5897173,http://dentalloudelsweg.nl,,Tandartspraktijk Bergen NH - G.H. Harms,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartspraktijk-bergen-nh-g-h-harms-bergen-3054000
" Pieter de Hooghstraat 4",5854 ES,Bergen,0485-515951,http://www.verloskundigenbergen-gennep.nl,,"Praktijk voor Verloskunde Bergen - Gennep, locatie Bergen",Verloskundepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/verloskundepraktijk-praktijk-voor-verloskunde-bergen-gennep-locatie-bergen-bergen-3036213
" Keulerstraat 30 C",5854 BZ,Bergen,06-23023796,http://www.health4skin.nl,,Health4Skin,Huidtherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/huidtherapiepraktijk-health4skin-nieuw-bergen-3037083
" Verlengde Geestweg 5",1861 VC,Bergen,072-5897906,http://www.sophievanammers.nl,,Fysiotherapie Sophie van Ammers,Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-sophie-van-ammers-bergen-192420
" Prinsesselaan 52",1861 EP,Bergen,072-5896699,http://www.therapeuticum-egelantier.nl,,Fysiotherapiepraktijk Vree,Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-therapeuticum-egelantier-fysiotherapie-bergen-3052314
" Rembrandtplein 8",5854 EM,Bergen,0485-341315,http://www.fysiobergen.nl,,FysioBergen,Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiobergen-bergen-197868
" J.M. Graadt van Roggenweg 2",1862 XP,Bergen,"072-5897444, 06-16410451",http://desprongkinderfysiotherapie.nl,,"De Sprong, praktijk voor kinderfysiotherapie, Praktijk Bergen",Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-de-sprong-praktijk-voor-kinderfysiotherapie-praktijk-bergen-bergen-3040509
" Van Blaaderenweg 21",1862 JM,Bergen,072-5894043,http://praktijktiemens.nl,,"Praktijk voor fysiotherapie Corine D. Tiemens ",Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-praktijk-voor-fysiotherapie-corine-d-tiemens-bergen-3048870
" Oosterweg 1",1862 KB,Bergen,06-12323723,http://www.osteopathiedonker.nl,,"Osteopathie Praktijk Donker, locatie Bergen (NH)",Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-ostheopathiepraktijk-donker-bergen-10000411
" Natteweg 41",1862 CW,Bergen,072-5816700,http://www.fysiotherapiebergen.nl,,Fysiotherapie en Manuele Therapie Nijdam,Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-en-manuele-therapie-nijdam-bergen-192424
" J.M. Graadt van Roggenweg 2",1862 XP,Bergen,072-5897798,http://mensendieckbergen.nl,,Mensendieckpraktijk Bergen/Schoorl,Oefentherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/oefentherapiepraktijk-mensendieckpraktijk-bergen-schoorl-bergen-3030603
" Prinsesselaan 52",1861 EP,Bergen,072-5894803,http://www.therapeuticum-egelantier.nl,,Therapeuticum Egelantier voor antroposofische geneeswijze,Artsenpraktijk voor alternatieve geneeskunde,https://www.zorgkaartnederland.nl/zorginstelling/artsenpraktijk-voor-alternatieve-geneeskunde-therapeuticum-egelantier-voor-antroposofische-geneeswijze-bergen-3041834
" Daem van Kekenstraat 9",5854 AN,Bergen,0485-212305,http://www.acupunctuur-brus.nl,,Acupunctuurpraktijk Brus,Artsenpraktijk voor alternatieve geneeskunde,https://www.zorgkaartnederland.nl/zorginstelling/artsenpraktijk-voor-alternatieve-geneeskunde-acupunctuurpraktijk-brus-bergen-3024370
" Jan oldenburglaan 34",1861 JV,Bergen,023-2302063,http://haarlem-psycholoog.nl,,Psychologie Praktijk Heijnis,Psychologiepraktijk en psychotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychologiepraktijk-en-psychotherapiepraktijk-psycholoog-haarlem-mirjam-heijnis-haarlem-3056313
" Nesdijk 20 H",1861 MK,Bergen,06-39472607,https://www.debergensepsychotherapeuten.nl,/,De Bergense Psychotherapeuten,Psychologiepraktijk en psychotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychologiepraktijk-en-psychotherapiepraktijk-de-bergense-psychotherapeuten-bergen-10004761
" Kievitslaan 14",1861 GR,Bergen,06-30359392,http://www.praktijkslee.nl,/,Praktijk De Kust,Psychologiepraktijk en psychotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychologiepraktijk-en-psychotherapiepraktijk-praktijk-de-kust-bergen-10005723
